shop,pref,ward,stations,genre,genres,tabelog_score,awards,feature,source_url
博多ラーメン ばりこて,東京都,杉並区,杉並区・東高円寺駅,博多豚骨,豚骨・博多,3.73,,低加水極細麺＋マイルド豚骨,https://tabelog.com/tokyo/A1319/A131904/13009232
中華そばの店 みのひ,東京都,板橋区,板橋区・志村坂上駅,中華そば,醤油・中華そば,3.73,,エリア4位,https://tabelog.com/ramen/tokyo/A1322/A132205/rank
おおぜき中華そば店,東京都,渋谷区,渋谷区・恵比寿駅,醤油（無化調・清湯）,醤油・中華そば,3.73,,完成度の高さで定評,https://tabelog.com/tokyo/A1303/A130302/13147623
中華そば いづる,東京都,港区,港区・浜松町駅,煮干し中華そば,煮干し/醤油・中華そば,3.73,,香り高い煮干し,https://tabelog.com/ramen/tokyo/A1314/A131401/rank
麺処 花田 池袋店,東京都,豊島区,豊島区・池袋駅,味噌,味噌,3.73,,東口を代表する濃厚味噌,https://tabelog.com/tokyo/A1305/A130501/13109890
つけめん さなだ（千住本店）,東京都,足立区,足立区・北千住駅,つけ麺,つけ麺,3.73,,大山鶏の濃厚つけ汁＋開化楼製太麺、北千住1位／西口5分,https://tabelog.com/tokyo/A1324/A132402/13240344
つけ麺 和 東京本店,東京都,足立区,足立区・竹ノ塚駅,つけ麺,つけ麺,3.73,百名店,無化調の濃厚豚鶏魚介＋極太麺／駅140m・月休,https://tabelog.com/tokyo/A1324/A132404/R5919/rstLst/ramen
ヌードルズキッチン ガナーズ,神奈川県,川崎市北部,川崎市北部・武蔵小杉駅,創作系,その他・創作,3.73,百名店,百名店2025の創作ラーメン,https://tabelog.com/ramen/kanagawa/A1405/A140504/rank
煮干しらーめん 田中にぼる,神奈川県,川崎市北部,川崎市北部・武蔵中原駅 / 武蔵新城駅,淡麗煮干し,煮干し,3.73,百名店,武蔵新城の名店、百名店2025,https://tabelog.com/ramen/kanagawa/A1405/A140504/rank
弘明寺丿貫,神奈川県,横浜中心部,横浜中心部,濃厚煮干・創作,煮干し,3.73,百名店,丿貫系の人気店、カニチーノ等,https://tabelog.com/kanagawa/A1401/A140306/14068127
ShiNaChiKu亭,神奈川県,横浜中心部,横浜中心部,昆布水・淡麗醤油/塩,塩/醤油・中華そば,3.73,,無化調、鶏と昆布の淡麗（反町・東神奈川）,https://tabelog.com/ramen/kanagawa/A1401/A140205/rank
川の先の上,神奈川県,横浜中心部,横浜中心部,自家製麺（味噌・塩・醤油）,味噌/塩/醤油・中華そば,3.73,,TRY受賞歴、濃厚味噌が名物,https://tabelog.com/ramen/kanagawa/A1401/A140307/rank
利尻らーめん味楽 新横浜ラーメン博物館店,神奈川県,横浜北部,横浜北部・新横浜駅,塩,塩,3.73,百名店,利尻昆布の透明スープ（ラー博内）,https://tabelog.com/ramen/kanagawa/A1401/A140206/rank
ラーメン二郎 湘南藤沢店,神奈川県,湘南・県西,湘南・県西・藤沢駅,二郎系,二郎・二郎系,3.73,,湘南随一の二郎、極太麺・ボリューム満点,https://tabelog.com/ramen/kanagawa/A1404/A140404/rank
家系ラーメン クックら,神奈川県,県央・相模原,県央・相模原・相模大野駅,家系,家系,3.73,,エリア最高評価の家系人気店、駅447m,https://tabelog.com/kanagawa/A1407/A140701/R4256/rstLst/ramen
麺屋 永太（えいた）,埼玉県,川口・蕨・戸田,川口・蕨・戸田・蕨駅,つけ麺・あっさり醤油,つけ麺/醤油・中華そば,3.72,,蕨の顔、醤油清湯と濃厚つけ麺の二枚看板,https://tabelog.com/saitama/A1102/A110202/R10733/rstLst/ramen
ラーメン二郎 越谷店,埼玉県,越谷・草加・春日部,越谷・草加・春日部・越谷駅,二郎系,二郎・二郎系,3.72,,醤油の効いた非乳化スープ・極太柔麺、駅257m,https://tabelog.com/saitama/A1102/A110203/R3982/rstLst/ramen
中華そば 馥（かおる）,埼玉県,越谷・草加・春日部,越谷・草加・春日部・草加駅,中華そば・つけ麺,つけ麺/醤油・中華そば,3.72,,喜多方系の豚骨＋塩あっさり、ラーメンWalker埼玉銅賞、獨協大学前4分,https://tabelog.com/saitama/A1102/A110203/11040443
めん和正,東京都,世田谷区,世田谷区・三軒茶屋駅,中華そば,醤油・中華そば,3.72,,エリア1位、バランス型の完成度,https://tabelog.com/ramen/tokyo/A1317/A131706/rank
中華そば たた味,東京都,中央区,中央区・小伝馬町駅,醤油（スタミナ）,醤油・中華そば,3.72,,青森あさり系インスパイア、生卵の濃厚醤油、行列,https://tabelog.com/tokyo/A1302/A130204/13257325
麺家 たいせい,東京都,中野区,中野区・中野坂上駅,鶏×醤油（中華そば）,醤油・中華そば,3.72,,「武道家 龍」店主の独立店／駅徒歩1分,https://tabelog.com/tokyo/A1319/A131903/13282456
我的中華そば 机上の空論。,東京都,北区,北区・東十条駅,王道中華そば・煮干し,煮干し/醤油・中華そば,3.72,,「田中商店」系で修業,https://ramen.walkerplus.com/tv/191
王道家直系 IEKEI TOKYO,東京都,台東区,台東区・上野広小路駅,家系,家系,3.72,,王道家直系の濃厚豚骨醤油（末広町寄り）,https://tabelog.com/ramen/tokyo/A1311/rank
Craft Ramen BiT,東京都,台東区,台東区・入谷駅,ラーメン,その他・創作,3.72,,入谷・鶯谷の高評価新鋭,https://tabelog.com/ramen/tokyo/A1311/A131104/rank
大井町 立食い中華蕎麦 いりこ屋,東京都,品川区,品川区・大井町駅,煮干し（立ち食い）,煮干し,3.72,,端正ないりこ淡麗,https://tabelog.com/tokyo/A1315/A131501/13292645
ラーメン 環2家 蒲田店,東京都,大田区,大田区・蒲田駅,家系（直系）,家系,3.72,,直系の貫禄,https://tabelog.com/ramen/tokyo/A1315/A131503/rank
こいけのいえけい,東京都,文京区,文京区・千石駅,上品系・家系,家系,3.72,,「とても上品な家系」、1000円以下（巣鴨寄り）,https://tabelog.com/tokyo/C13105/C36306/rstLst/ramen
中華そば 葉山,東京都,新宿区,新宿区・牛込柳町駅,醤油（青竹手打ち）,醤油・中華そば,3.72,,注文ごとに青竹で打つ自家製縮れ麺,https://tabelog.com/tokyo/A1309/A130903/13174173
アサガキタ,東京都,杉並区,杉並区・阿佐ケ谷駅,白河手打ち中華,ご当地・地域系,3.72,,北口1分、淡麗醤油＋手打ち縮れ麺,https://tabelog.com/ramen/tokyo/A1319/A131905/rank
麺屋 はやしまる,東京都,杉並区,杉並区・高円寺駅,煮干しつけ麺,煮干し/つけ麺,3.72,,濃厚煮干しつけ麺,https://tabelog.com/tokyo/A1319/A131904/13006636
らあめん 元（はじめ）,東京都,板橋区,板橋区・蓮根駅,特製塩ラーメン,塩,3.72,,鶏清湯の淡麗塩、区内トップクラス／駅すぐ,https://tabelog.com/tokyo/A1322/A132205/13090786
愚直（ぐちょく）,東京都,板橋区,板橋区・中板橋駅,とんこつ専門,豚骨・博多,3.72,,全粒粉自家製麺・釜焼チャーシュー、看板を出さない行列店／南口8分,https://tabelog.com/tokyo/A1322/A132203/13043552
北大塚ラーメン,東京都,豊島区,豊島区・大塚駅,中華そば（醤油）,醤油・中華そば,3.72,,昔ながらの中華そば、地元の定番,https://tabelog.com/tokyo/A1323/A132302/13113229
麺小屋 てち,神奈川県,川崎市北部,川崎市北部・武蔵中原駅 / 武蔵新城駅,まぜそば・豚骨魚介,豚骨・博多/貝・魚介系/油そば・まぜそば・汁なし,3.72,百名店,百名店2025,https://tabelog.com/ramen/kanagawa/A1405/A140504/rank
ラーメン二郎 京急川崎店,神奈川県,川崎市南部,川崎市南部・川崎駅,二郎系,二郎・二郎系,3.72,百名店,南部唯一の直系二郎、京急川崎至近,https://tabelog.com/ramen/kanagawa/A1405/A140501/rank
三三㐂（さんさんなき）,神奈川県,川崎市南部,川崎市南部・八丁畷駅,つけ麺,つけ麺,3.72,百名店,濃厚魚介豚骨×極太麺、川崎エリア1位、八丁畷至近,https://tabelog.com/kanagawa/A1405/A140502/R7953/rstLst/ramen
麺処 にぼし香 アソビル店,神奈川県,横浜中心部,横浜中心部,濃厚煮干し,煮干し,3.72,百名店,旧「横濱丿貫」、横浜駅東口アソビル1F,https://tabelog.com/kanagawa/A1401/A140101/14075484
横浜ラーメン 田上家,神奈川県,横浜中心部,横浜中心部,家系,家系,3.72,百名店,弘明寺の人気家系,https://tabelog.com/ramen/kanagawa/A1401/A140306/rank
自家製麺 二丁目ラーメン,神奈川県,県央・相模原,県央・相模原・橋本駅,濃厚豚骨,豚骨・博多,3.72,,自家製麺のこってり系、トロトロチャーシュー、駅275m,https://tabelog.com/kanagawa/A1407/A140701/R7881/rstLst/ramen
肉煮干中華そば 鈴木ラーメン店,神奈川県,県央・相模原,県央・相模原・相模大野駅,背脂煮干し,煮干し,3.72,,肉煮干中華そばの実力店、駅201m,https://tabelog.com/kanagawa/A1407/A140701/R4256/rstLst/ramen
ラーメン二郎 相模大野店,神奈川県,県央・相模原,県央・相模原・相模大野駅,二郎系,二郎・二郎系,3.72,,言わずと知れた二郎、駅504m,https://tabelog.com/kanagawa/A1407/A140701/R4256/rstLst/ramen
狼煙 本店,埼玉県,さいたま市北部,さいたま市北部・鉄道博物館,濃厚魚介つけ麺,つけ麺/貝・魚介系,3.71,,埼玉屈指のつけ麺の総本店、鉄道博物館7〜8分が最寄り,https://tabelog.com/saitama/A1101/A110101/R1811/rstLst/ramen
ゴールデンタイガー,埼玉県,埼玉,埼玉・熊谷駅,TKM（卵かけ麺）・つけ麺,つけ麺,3.71,,TKM発祥として全国的に話題、本町・駅6分・水休,https://tabelog.com/saitama/A1105/A110501/11046681
中華蕎麦 瑞山（ずいざん）,埼玉県,川越・東武東上線,川越・東武東上線・朝霞駅,淡麗塩・醤油,塩/醤油・中華そば,3.71,百名店,鶏だし塩が絶品、朝霞南口7分,https://tabelog.com/saitama/A1103/A110301/11024713
中華そば 千乃鶏（せんのとり）,東京都,世田谷区,世田谷区・池尻大橋駅,鶏清湯中華そば,醤油・中華そば,3.71,,醤油/塩選択可、千里眼出身,https://tabelog.com/ramen/tokyo/A1317/A131705/rank
日本橋 製麺庵 なな蓮,東京都,中央区,中央区・三越前駅,醤油（支那そば）,醤油・中華そば,3.71,,無化調・自家製麺の支那そば／支那つけそば,https://tabelog.com/tokyo/A1302/A130202/13162497
麺処 にぼし香 水天宮前店,東京都,中央区,中央区・水天宮前駅,煮干し,煮干し,3.71,,動物系不使用の純煮干し専門,https://tabelog.com/tokyo/A1302/A130204/13290632
麺 高はし,東京都,北区,北区・赤羽駅,つけ麺・ラーメン,つけ麺,3.71,,赤羽岩淵296m,https://tabelog.com/ramen/tokyo/A1323/A132305/rank
神保町 可以（クーイー）,東京都,千代田区,千代田区・九段下駅,ラーメン,その他・創作,3.71,,九段下〜神保町徒歩圏の高評価店,https://tabelog.com/ramen/tokyo/A1310/A131003/rank
井田商店,東京都,品川区,品川区・荏原中延駅,背脂醤油,醤油・中華そば,3.71,,看板「背脂醤油らぁめん」／駅3分,https://tabelog.com/ramen/tokyo/A1317/A131712/rank
ラーメン二郎 品川店,東京都,品川区,品川区・北品川駅,二郎系,二郎・二郎系,3.71,,直系の人気店／北品川410m,https://tabelog.com/tokyo/A1314/A131405/R3131/rstLst/ramen
のスた 本店,東京都,品川区,品川区・戸越銀座駅,二郎系・淡麗塩（日替り）,二郎・二郎系/塩,3.71,,2024年に大井町から下神明へ移転、中毒性の高い人気店,https://tabelog.com/tokyo/A1317/A131712/13296505
麺や 佐市,東京都,墨田区,墨田区・錦糸町駅,牡蠣ラーメン・つけ麺,つけ麺/貝・魚介系,3.71,,広島産牡蠣の濃厚出汁専門／北口2分,https://tabelog.com/tokyo/A1312/A131201/13147184
本枯中華そば 魚雷,東京都,文京区,文京区・後楽園駅,中華そば・つけ麺,つけ麺/醤油・中華そば,3.71,,本枯節をサイフォン抽出する唯一無二／春日A6至近,https://tabelog.com/tokyo/A1310/A131004/13103739
麺処 一笑,東京都,杉並区,杉並区・南阿佐ケ谷駅,豚骨,豚骨・博多,3.71,,"具を別盛りし""スープと麺""で勝負",https://tabelog.com/tokyo/A1319/A131905/13190790
らぁ麺やまぐち 辣式 本店,東京都,江東区,江東区・東陽町駅,塩・醤油＋汁なし担々麺,担々麺・四川・麻婆/油そば・まぜそば・汁なし/塩/醤油・中華そば,3.71,百名店,駅1分,https://tabelog.com/tokyo/A1313/A131303/13186890
yagu-noodle,東京都,江東区,江東区・住吉駅,ラーメン・担々麺,担々麺・四川・麻婆,3.71,,区内トップクラス,https://tabelog.com/tokyo/C13108/rstLst/ramen
らぁ麺 花筏（はないかだ）,東京都,江東区,江東区・亀戸水神駅,鶏淡麗,その他・創作,3.71,,鶏主体の特製らぁ麺、炭火薫香チャーシュー、2024年開業の話題店／駅9分・月火休,https://tabelog.com/tokyo/A1312/A131202/13301276
麺や みかん,東京都,目黒区,目黒区・中目黒駅,中華そば（ネオクラシック）,醤油・中華そば,3.71,,豚・鶏＋出汁の鶏醤油、上品な一杯／東口6分,https://tabelog.com/tokyo/A1317/A131701/13295731
ラーメン二郎 千住大橋駅前店,東京都,足立区,足立区・千住大橋駅,二郎系,二郎・二郎系,3.71,,キレのある非乳化醤油＋デロ麺／駅29m・昼のみ/木土日祝休,https://tabelog.com/tokyo/A1324/A132402/R5560/rstLst/ramen
横濱家系ラーメン 勝鬨家,神奈川県,横浜中心部,横浜中心部,家系,家系,3.71,百名店,朝から営業の正統派家系,https://tabelog.com/ramen/kanagawa/A1401/A140104/rank
麺や魁星,神奈川県,横浜中心部,横浜中心部,ラーメン,その他・創作,3.71,百名店,百名店2025選出の実力店,https://tabelog.com/ramen/kanagawa/A1401/A140104/rank
横浜家系ラーメン 黄金家,神奈川県,横浜中心部,横浜中心部,家系,家系,3.71,百名店,パンチのある豚骨醤油（阪東橋・黄金町）,https://tabelog.com/ramen/kanagawa/A1401/A140306/rank
麺屋 ぬまた,神奈川県,横浜中心部,横浜中心部,醤油らー麺,醤油・中華そば,3.71,百名店,JR鶴見東口3分、コク深い醤油,https://tabelog.com/ramen/kanagawa/A1401/A140210/rank
らーめん くじら軒 横浜本店,神奈川県,横浜北部,横浜北部・センター北駅 / センター南駅 / 仲町台駅,醤油,醤油・中華そば,3.71,百名店,港北ニュータウンの名店（センター北/中川）,https://tabelog.com/ramen/kanagawa/A1401/A140203/rank
らーめん 雅楽（GARAKU）,神奈川県,横浜北部,横浜北部・あざみ野駅,味噌,味噌,3.71,百名店,濃厚味噌・ごまみそ担々麺（あざみ野/たまプラ）,https://tabelog.com/ramen/kanagawa/A1401/A140201/rank
めん処 樹,神奈川県,横浜南西部,横浜南西部・天王町駅 / 星川駅,節系中華そば,醤油・中華そば,3.71,,極上スープと絶品チャーシュー（天王町・星川）,https://tabelog.com/ramen/kanagawa/A1401/A140301/rank
鮮魚鶏出汁麺 沢むら,神奈川県,湘南・県西,湘南・県西・藤沢駅,ラーメン（鮮魚×鶏）,その他・創作,3.71,,鮮魚と鶏出汁の淡麗系、藤沢の実力新店,https://tabelog.com/ramen/kanagawa/A1404/A140404/rank
煮干しらぁめん 猫トラ亭,神奈川県,県央・相模原,県央・相模原・大和駅,煮干し,煮干し,3.71,,淡麗煮干し系の人気店（大和/鶴間）,https://tabelog.com/ramen/kanagawa/A1407/A140702/rank
中華そば 幻六（げんろく）,埼玉県,川越・東武東上線,川越・東武東上線・朝霞駅,醤油（蛤Wスープ）,貝・魚介系/醤油・中華そば,3.7,,朝霞台南口1分、特製醤油そばの行列店,https://tabelog.com/saitama/A1103/A110301/11035642
支那麺 はしご 本店,東京都,中央区,中央区・銀座駅,担々麺,担々麺・四川・麻婆,3.7,,銀座の担々麺の名店、排骨も看板,https://tabelog.com/tokyo/A1301/A130101/13092185
中華そば 共楽,東京都,中央区,中央区・銀座駅,醤油,醤油・中華そば,3.7,,東京クラシックな中華そばの老舗（銀座一丁目）,https://tabelog.com/tokyo/A1301/A130101/13002327
自家製麺 伊藤 銀座店,東京都,中央区,中央区・東銀座駅,煮干し（肉そば）,煮干し,3.7,ビブグルマン,最高級煮干しの肉そば、ビブグルマン歴,https://tabelog.com/tokyo/A1301/A130101/13164387
麺 やまらぁ,東京都,中央区,中央区・人形町駅,魚介系,貝・魚介系,3.7,,濃厚魚介系の人気店,https://tabelog.com/tokyo/A1302/A130204/13104793
あいだや,東京都,台東区,台東区・上野広小路駅,つけ麺,つけ麺,3.7,,4種から選べる「2種つけ麺」、和牛飯も,https://tabelog.com/tokyo/A1311/A131101/13288181
ろく月,東京都,台東区,台東区・浅草橋駅,ラーメン,その他・創作,3.7,,浅草橋の高評価店,https://tabelog.com/ramen/tokyo/A1311/A131103/rank
生粋 花のれん,東京都,文京区,文京区・茗荷谷駅,淡麗（鶏清湯）,醤油・中華そば,3.7,ビブグルマン,地鶏＋羅臼昆布の無化調清湯／ビブグルマン東京2021,https://tabelog.com/tokyo/A1323/A132302/13184374
横濱ラーメン あさが家 本店,東京都,杉並区,杉並区・阿佐ケ谷駅,家系,家系,3.7,,安定の家系豚骨醤油,https://tabelog.com/ramen/tokyo/A1319/A131905/rank
中華そば 麺壁九年,東京都,杉並区,杉並区・井荻駅,中華そば（Wスープ）,醤油・中華そば,3.7,,ブランド鶏＋節・アゴ煮干し／駅2分,https://tabelog.com/tokyo/A1321/A132105/13245329
麺や 麟子鳳雛,東京都,杉並区,杉並区・上井草駅,鶏魚介清湯,貝・魚介系/醤油・中華そば,3.7,,「麺壁九年」系列2号店、生姜＋平打麺／南口1分,https://tabelog.com/tokyo/A1321/A132105/13273311
自家製麺 No11,東京都,板橋区,板橋区・大山駅,二郎系,二郎・二郎系,3.7,,富士丸系譜、連日行列／大山〜下板橋圏・無休,https://tabelog.com/tokyo/A1322/A132201/13236620
ラーメン二郎 小岩店,東京都,江戸川区,江戸川区・小岩駅,二郎系,二郎・二郎系,3.7,,非乳化・醤油、平日昼のみで連日行列,https://tabelog.com/ramen/tokyo/A1312/A131204/rank
らーめん とうかんや,東京都,江戸川区,江戸川区・一之江駅 / 江戸川区・瑞江駅,味噌・塩・カレーつけ麺,つけ麺/味噌/塩,3.7,,TRYラーメン大賞受賞、自家製麺(一之江〜瑞江),https://tabelog.com/tokyo/A1312/A131205/13260623
ラーメン二郎 環七一之江店,東京都,江戸川区,江戸川区・一之江駅,二郎系,二郎・二郎系,3.7,,環七沿いの人気店,https://tabelog.com/ramen/tokyo/A1312/A131205/rank
麺恋処 いそじ,東京都,渋谷区,渋谷区・代々木駅 / 渋谷区・代々木公園駅,醤油（和風中華そば）,醤油・中華そば,3.7,,魚粉・柚子の和風中華そば、代々木エリア1位,https://tabelog.com/ramen/tokyo/A1304/A130403/rank
味噌らーめん 柿田川 ひばり 恵比寿本店,東京都,渋谷区,渋谷区・恵比寿駅,味噌（濃厚辛味噌）,味噌,3.7,,濃厚な辛味噌,https://tabelog.com/tokyo/A1303/A130302/13254802
背脂煮干中華そば 和市,東京都,港区,港区・新橋駅,背脂煮干し中華そば,煮干し/醤油・中華そば,3.7,,背脂煮干しの一杯,https://tabelog.com/ramen/tokyo/A1301/A130103/rank
博多ラーメン 和,東京都,港区,港区・赤坂駅,豚骨,豚骨・博多,3.7,,自家炊き濃厚とんこつ／赤坂1番出口2分,https://tabelog.com/ramen/tokyo/A1308/A130801/rank
Ramen 翡翠（ひすい）,東京都,港区,港区・赤坂駅,ラーメン,その他・創作,3.7,,エリア上位の実力店,https://tabelog.com/ramen/tokyo/A1308/A130801/rank
釜玉中華そば ナポレオン軒,東京都,目黒区,目黒区・都立大学駅,汁なし（釜玉）,油そば・まぜそば・汁なし,3.7,,名物「釜玉中華そば」で全国的に有名,https://tabelog.com/ramen/tokyo/A1317/A131702/rank
RAMEN GOTTSU,東京都,練馬区,練馬区・練馬駅,煮干鰹（淡麗〜濃厚）,煮干し/貝・魚介系,3.7,ビブグルマン;百名店,節と煮干しの洗練系、区内随一／中央口3-4分,https://tabelog.com/tokyo/A1321/A132102/13153294
ラーメン丸仙,神奈川県,川崎市北部,川崎市北部・武蔵小杉駅,支那そば,醤油・中華そば,3.7,百名店,1973年創業の地元ソウルフード、名古屋コーチン,https://tabelog.com/kanagawa/A1405/A140504/14002807
まっち棒 溝の口店,神奈川県,川崎市北部,川崎市北部・溝の口駅 / 武蔵溝ノ口駅,紀州和歌山ラーメン,ご当地・地域系,3.7,百名店,豚骨醤油・細麺、区内1位・南口すぐ,https://tabelog.com/kanagawa/A1405/A140505/14006090
ラーメン二郎 生田駅前店,神奈川県,川崎市北部,川崎市北部・登戸駅 / 向ヶ丘遊園駅,二郎系,二郎・二郎系,3.7,,二郎直系、生田駅前・区内1位,https://tabelog.com/ramen/kanagawa/A1405/A140506/rank
ラーメン 環2家 川崎店,神奈川県,川崎市南部,川崎市南部・川崎駅,家系,家系,3.7,百名店,横浜「環2家」のれん分け、濃厚豚骨醤油,https://tabelog.com/ramen/kanagawa/A1405/A140501/rank
麺場 浜虎,神奈川県,横浜中心部,横浜中心部・横浜駅,魚介醤油・鶏白湯,鶏白湯/貝・魚介系/醤油・中華そば,3.7,百名店,鶏白湯と醤油の二枚看板,https://tabelog.com/ramen/kanagawa/A1401/A140101/rank
勢得（せいとく）,東京都,世田谷区,世田谷区・千歳船橋駅,つけ麺,つけ麺,3.69,,魚介×豚骨×海老の濃厚つけ汁,https://tabelog.com/ramen/tokyo/A1318/A131813/rank
麺処 ほん田 東十条店,東京都,北区,北区・東十条駅,二郎系,二郎・二郎系,3.69,,本店移転後の旧店舗で営業継続／駅5分,https://tabelog.com/tokyo/A1323/A132304/13246568
麺や べらぼう,東京都,千代田区,千代田区・飯田橋駅,ラーメン,その他・創作,3.69,,飯田橋エリア上位の実力店,https://tabelog.com/ramen/tokyo/A1309/rank
永楽,東京都,品川区,品川区・大井町駅,中華そば（町中華）,醤油・中華そば,3.69,,大井町の老舗,https://tabelog.com/ramen/tokyo/A1315/A131501/rank
ラーメン珉珉（みんみん）,東京都,墨田区,墨田区・鐘ヶ淵駅,ラーメン（パーコーメン）,その他・創作,3.69,,"""墨田区民の名物""、クセになるパーコーメン／駅5分・火水休",https://tabelog.com/tokyo/A1312/A131203/13017949
ラーメン二郎 新宿歌舞伎町店,東京都,新宿区,新宿区・新宿駅,二郎系,二郎・二郎系,3.69,,言わずと知れた二郎,https://tabelog.com/ramen/tokyo/A1304/A130401/rank
麺屋 悠,東京都,新宿区,新宿区・新大久保駅,ラーメン,その他・創作,3.69,,大久保エリア最高点,https://tabelog.com/ramen/tokyo/A1304/A130404/rank
麺や べらぼう,東京都,新宿区,新宿区・飯田橋駅,ラーメン,その他・創作,3.69,,神楽坂エリア上位,https://tabelog.com/ramen/tokyo/A1309/A130905/rank
自家製麺 福は内,東京都,新宿区,新宿区・曙橋駅,つけ麺（濃厚魚介豚骨）,つけ麺/豚骨・博多/貝・魚介系,3.69,,青竹打ち自家製極太麺,https://tabelog.com/ramen/tokyo/A1309/A130903/rank
らぁ麺 鳳仙花,東京都,新宿区,新宿区・西武新宿駅,鶏清湯（金目鯛だし）,貝・魚介系/醤油・中華そば,3.69,,「はやし田」系列、金目鯛のアラを使う上品な一杯／駅1分,https://tabelog.com/tokyo/A1304/A130401/13224521
ラーメン二郎 西台駅前店,東京都,板橋区,板橋区・西台駅,二郎系,二郎・二郎系,3.69,,東口高架下,https://tabelog.com/ramen/tokyo/A1322/A132205/rank
ラーメン二郎 亀戸店,東京都,江東区,江東区・亀戸駅,二郎系,二郎・二郎系,3.69,,激戦区の定番,https://tabelog.com/ramen/tokyo/A1312/A131202/rank
ラーメンの店 ホープ軒 千駄ヶ谷店,東京都,渋谷区,渋谷区・千駄ヶ谷駅,背脂豚骨醤油,豚骨・博多/醤油・中華そば,3.69,,1960年創業・24時間営業の象徴的老舗,https://tabelog.com/tokyo/A1309/A130901/13021239
神泉のらぁめん屋 うさぎ,東京都,渋谷区,渋谷区・神泉駅,淡麗醤油・汁なし担々麺,担々麺・四川・麻婆/油そば・まぜそば・汁なし/醤油・中華そば,3.69,,2007年創業の無化調人気店／駅3分・土日祝休,https://tabelog.com/tokyo/A1303/A130301/13041115
桜台らぁ麺 美志満（みしま）,東京都,練馬区,練馬区・桜台駅,塩・醤油・つけ麺,つけ麺/塩/醤油・中華そば,3.69,,塩ラーメンを追求、桜台エリア最高評価／駅3分,https://tabelog.com/tokyo/C13120/C36830/rstLst/ramen
麺屋 ごとう,東京都,豊島区,豊島区・駒込駅,醤油,醤油・中華そば,3.69,,端正な醤油,https://tabelog.com/tokyo/A1323/A132301/13170227
つけそば 丸長 目白店,東京都,豊島区,豊島区・目白駅,つけそば,つけ麺,3.69,,1954年創業の老舗、11〜14時のみ,https://tabelog.com/tokyo/A1305/A130502/13003851
塩そば専門店 桑ばら,東京都,豊島区,豊島区・東池袋駅,塩,塩,3.69,,上品な塩そば（池袋寄り）,https://tabelog.com/tokyo/A1305/A130501/13022925
煮干中華そば専門 煮干丸,埼玉県,さいたま市北部,さいたま市北部・大宮駅,煮干し,煮干し,3.68,百名店,セメント色の濃厚煮干し、西口1〜2分、行列,https://tabelog.com/saitama/A1101/A110101/11043682
自家製麺 竜葵（ほおずき）,埼玉県,川口・蕨・戸田,川口・蕨・戸田・川口駅,鶏そば・自家製麺,その他・創作,3.68,,優しい鶏だしの清湯系「鶏そば」が看板,https://tabelog.com/saitama/A1102/A110201/R2843/rstLst/ramen
所沢 大勝軒,埼玉県,西武沿線エリア,西武沿線エリア・新所沢駅,つけ麺・ラーメン,つけ麺,3.68,,東池袋系の正統派つけ麺、駅4分・月日休,https://tabelog.com/ramen/saitama/A1106/A110601/rank
麺屋時茂,埼玉県,越谷・草加・春日部,越谷・草加・春日部・草加駅,ラーメン・つけ麺,つけ麺,3.68,,線路沿いの人気店、草加180m・現金のみ,https://tabelog.com/saitama/A1102/A110203/R5604/rstLst/ramen
煮干そば HIMAWARI,東京都,世田谷区,世田谷区・千歳烏山駅,煮干しそば,煮干し,3.68,,煮干し特化,https://tabelog.com/ramen/tokyo/A1318/A131809/rank
ラーメン 雷 東京本丸店,東京都,中央区,中央区・東京駅,ラーメン,その他・創作,3.68,,松戸「中華蕎麦とみ田」直営のガッツリ系／グランスタ,https://tabelog.com/tokyo/A1302/A130201/13249452
Homemade Ramen 麦苗 室町（COREDO室町）,東京都,中央区,中央区・三越前駅,醤油,醤油・中華そば,3.68,,地鶏醤油らーめん,https://tabelog.com/tokyo/A1302/A130202/13283979
担々麺 ほおずき,東京都,中野区,中野区・中野駅,担々麺,担々麺・四川・麻婆,3.68,,中野を代表する担々麺／北口7分,https://tabelog.com/tokyo/A1319/A131902/13097692
用心棒,東京都,千代田区,千代田区・九段下駅,二郎系（食べやすい）,二郎・二郎系,3.68,,九段下の人気二郎インスパイア,https://tabelog.com/ramen/tokyo/A1310/A131003/rank
ヌードルボウズ n坊,東京都,台東区,台東区・浅草橋駅,淡麗系（魚介）,貝・魚介系,3.68,,魚介出汁の個性派,https://tabelog.com/ramen/tokyo/A1311/A131103/rank
家系ラーメン まこと家,東京都,品川区,品川区・青物横丁駅,家系（本牧系）,家系,3.68,,"口コミ1,700件超の人気家系",https://tabelog.com/tokyo/A1315/A131501/R84/rstLst/ramen
永楽,東京都,品川区,品川区・青物横丁駅,町中華,その他・創作,3.68,,1956年創業、名物「もやしそば」,https://tabelog.com/tokyo/A1315/A131501/R84/rstLst/ramen
麺響 万蕾（ばんらい）,東京都,墨田区,墨田区・菊川駅,煮干し＋貝（和風醤油・潮）,煮干し/貝・魚介系/醤油・中華そば,3.68,,松戸から移転した実力店、菊川の代表格／駅5分,https://tabelog.com/tokyo/A1312/A131201/13282131
青森煮干 和渦製麺,東京都,大田区,大田区・雑色駅,青森系濃厚煮干,煮干し,3.68,,和渦グループ製麺所併設,https://tabelog.com/ramen/tokyo/A1315/A131503/rank
